,0
0,114.75228195196516
1,105.47787544775728
2,97.32422634779275
3,89.56205153235767
4,82.49071551808906
5,76.5191346503734
6,70.53133175689041
7,65.00381961608203
8,59.93070222254492
9,55.53252147053348
10,51.267821360003516
11,47.24018936408472
12,43.54592062940439
13,40.93218810891567
14,37.54897147634917
15,35.12395396436692
16,32.142662686409146
17,29.71898552967028
18,28.130350880732614
19,25.609560282266294
20,23.627450340779447
21,22.042304172945787
22,20.801599888296188
23,19.434413619210666
24,17.612862605704876
25,16.703415573068877
26,15.276843103519312
27,14.512056636244022
28,13.39547036523649
29,12.141778061856805
30,11.646438568070671
31,10.885963662379927
32,9.79122985558998
33,9.52302259549375
34,8.63033852342708
35,7.980285503707359
36,7.319073305197358
37,7.098854267104488
38,6.809818528460306
39,6.124373501816403
40,6.3262543760742105
41,5.522156236107584
42,5.312418500819756
43,4.609336869625744
44,4.290798700242836
45,4.384302687277301
46,3.8865546435675236
47,3.9103347470745224
48,3.7390069939132795
49,2.9974855731189765
50,3.8168263890361542
51,2.6704327483859998
52,2.6407122567003776
53,2.255331849169869
54,2.477202765496113
55,1.9804447554102869
56,2.14162524430902
57,2.137771134293671
58,2.0684591895123576
59,2.5689757313586683
60,1.7230141997134247
61,2.5257327820317377
62,2.46988175347508
63,1.6688585345806168
64,1.3517014982497584
65,1.141906991994615
66,2.0976654409314444
67,1.0565211108054617
68,3.21864234768195
69,1.1816661293361412
70,2.267900537150999
71,2.067393254566206
72,1.4463413034643855
73,1.5191656079107803
74,1.0923818134591774
75,1.5612235434707478
76,0.8121324051437467
77,1.5604028171838273
78,1.050297129328566
79,0.833345170538888
80,1.416788625750678
81,0.575662332889509
82,2.7687619809973922
83,2.7856476941540973
84,0.9162081475996463
85,1.7136580284115661
86,0.6158867074515363
87,2.1523754337546586
88,0.5103330227376461
89,0.9143358811815542
90,1.8202300111104677
91,2.2993114336838465
92,3.665647617519153
93,2.163612578595487
94,1.6731957860020525
95,1.6607021266769133
96,0.5369131503802591
97,1.8297855420688067
98,0.6496001152797679
99,1.8614586329523786
