,0
0,44.68525225755782
1,190.8475175608763
2,202.8157887479799
3,192.81507855544058
4,195.5643660342291
5,194.38049426567625
6,194.83063346070566
7,194.90574068080457
8,195.06838440872352
9,194.92324777774402
10,194.69753729846914
11,194.55295308681772
12,194.7012862706956
13,194.99059634026554
14,195.17061933246882
15,195.13657071986236
16,194.93473206195694
17,194.76201365179344
18,194.84199350058182
19,195.11901947530467
20,195.3374696262688
21,195.35819803659112
22,195.1937312565672
23,194.99902552870407
24,195.0093349237613
25,195.25447870140283
26,195.49965919374847
27,195.57022213140803
28,195.44829938290312
29,195.24898316507748
30,195.19725697502307
31,195.39678639368367
32,195.6571510838213
33,195.77259533937288
34,195.69548142527074
35,195.50612499177208
36,195.4048344131745
37,195.54913480220125
38,195.8119245095299
39,195.96662998743625
40,195.93425503511395
41,195.76566597058627
42,195.6296950517079
43,195.7144114787823
44,195.96606956002265
45,196.15370209272507
46,196.16452139608933
47,196.02384509841337
48,195.8682415917844
49,195.89461205231763
50,196.12181547796865
51,196.33506675827027
52,196.38672363280224
53,196.2780632510731
54,196.11629477003038
55,196.09046186372473
56,196.2815561140202
57,196.51180772987718
58,196.6015337832647
59,196.52678810378555
60,196.36974025907213
61,196.30127510263117
62,196.44772162477372
63,196.68489444714533
64,196.8096140806569
65,196.76930162078892
66,196.6250137216766
67,196.52511035472335
68,196.62248627818337
69,196.8553290120973
70,197.01145436399398
71,197.0053865000248
72,196.87934773160802
73,196.75916699547093
74,196.8073996547711
75,197.02431687827308
76,197.20728776331265
77,197.2350299017116
78,197.13078707924245
79,197.0002824503377
80,197.0030841223706
81,197.19336007335036
82,197.3971012451804
83,197.45818860771277
84,197.37803341517116
85,197.24537669078518
86,197.20912036957023
87,197.36418967347498
88,197.58075857729116
89,197.67462525811735
90,197.62020125554974
91,197.49173966270504
92,197.4241573668481
93,197.53852815486223
94,197.75821958366112
95,197.88380919125512
96,197.856562804117
97,197.7371312221787
98,197.64618545462986
99,197.71776115624962
100,197.92978244676897
101,203.0112969965313
102,207.91877825364685
103,212.73453428424207
104,217.55027953126833
105,222.50457495150198
106,227.65732799530767
107,232.8264915610691
108,237.83808387884653
109,242.69830587048725
110,247.5083350933969
111,252.43359647184923
112,257.58373941878426
113,262.80459342390805
114,267.8667763796086
115,272.74621546994615
116,277.5437126218264
117,282.42973127158734
118,287.55714950008564
119,292.82103898554124
120,297.9435745389296
121,297.90480038692033
122,297.7876963669592
123,297.7179301933398
124,297.86659036415756
125,298.1848650089231
126,298.37946180398285
127,298.34167848401535
128,298.1718265991768
129,298.0344671544559
130,298.10936810657756
131,298.4020238961442
132,298.63877701704274
133,298.64366019397636
134,298.48972185105174
135,298.3300348622676
136,298.3462291652861
137,298.6043425483885
138,298.8767688704328
139,298.92887628038613
140,298.7965009650643
141,298.6229727387257
142,298.5850681943072
143,298.7947665995656
144,299.0886879700029
145,299.1907372687949
146,299.0854867801072
147,298.90647320237815
148,298.82183777365213
149,298.9739172550351
150,299.27197881399167
151,299.4243216711266
152,299.3519037368961
153,299.17538757816914
154,299.0531096125063
155,299.14331854007105
156,299.42660896086727
157,299.62536710791187
158,299.5913449927819
159,299.42462045323276
160,299.27465354940244
161,299.3036097285311
162,299.55406863154343
163,299.7900804155497
164,299.79943172714894
165,299.6489668656385
166,299.4814122551024
167,299.4540758318971
168,299.6568421102341
169,299.9157337502064
170,299.9718845790542
171,299.84335414572473
172,299.6677985048249
173,299.59255685958595
174,299.7377584439002
175,300.0013275330074
176,300.1047137179813
177,300.00321357335287
178,299.8281347235134
179,299.71561588718663
180,299.79934714060454
181,300.04802377349375
182,300.1946348179584
183,300.12490792880254
184,299.95723629120414
185,299.8189976961376
186,299.8433986597536
187,300.059212052768
188,300.2398095582799
189,300.2061606636319
190,300.0511644380602
191,299.8984193342829
192,299.87088828761813
193,300.04026040694265
194,300.2408572640928
195,300.2465085264573
196,300.1081647768208
197,299.9507013213871
198,299.8823890967933
199,299.9981630442199
200,300.2015764796147
