,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,-14.475457466124654,-17.492974617381687,-14.223615823225758,-9.443843642801154,-11.811562072618566,-12.98524044078149,-10.841525817158548,-8.361580620461922,-11.584067864422053,-13.289703533802744,-15.899475456439829,-13.045191632897009,-13.104695841938433,-9.491229504818714,-12.624195045266012,-16.287121831793193,-10.813450036153737,-9.9779764723059,-14.252266022572767,-10.195654647415498,-11.035946306842096,-9.292250983041816,-9.214891207476548,-15.961301880484644,-12.688419831772013
1,-11.267349543450003,-17.458085713793544,-20.30809536535454,-14.228725436622105,-14.860798032004626,-13.980226822582072,-8.181296891059594,-8.818678792253099,-17.231142864144672,-11.02607733173212,-19.012364709636294,-13.099299813733104,-9.765915884652483,-10.129554024953226,-13.926076080025956,-17.75687376869129,-11.731971624500792,-11.966185968909773,-15.15285578427589,-13.412717966089524,-12.67056808552968,-12.83541993366308,-11.394189540446956,-13.81595961461448,-9.528039865367244
2,-11.288394471490133,-17.909213221295538,-21.36865729486468,-17.415748997862252,-14.46434963220247,-12.708543473714075,-9.28832211805311,-12.519039212659978,-18.966780786309748,-8.267445628570572,-18.615209549945156,-15.701341198444567,-8.876535928686982,-11.357139307492902,-13.02339213191226,-21.034095501036102,-13.066848784972606,-13.277477785112891,-16.90331739401247,-13.974339582192895,-16.56296043234825,-16.589190810910935,-14.066274341612054,-10.891842715155315,-5.01274769241
3,-14.580272376603201,-16.25133194941967,-18.83647684692167,-19.120615616114343,-11.579096896837239,-12.550578925945427,-10.644499367234795,-19.2220054375596,-16.98947206800339,-13.258103139108961,-14.713523234770403,-19.487674054167513,-12.29512708673619,-14.622118445947455,-13.648446423374638,-20.24084205846196,-13.070123929095665,-15.124828775422486,-16.955674040566162,-11.868264756546079,-18.489202530090306,-15.574861186834703,-14.953943095183208,-8.135585808266157,-4.922395985403546
4,-14.255863903706938,-16.112027577386577,-15.294164243137644,-17.659284633119622,-10.48660471469748,-12.457493383278878,-11.345889029995192,-18.995135576157416,-16.489529155151693,-20.76343775922446,-16.347596305988798,-16.754811065455364,-17.89924938224933,-14.664008690469657,-15.92778342258026,-19.60429785974338,-14.66831294902218,-15.343866610331697,-16.682376006342817,-11.881966344987944,-15.882632585419227,-15.580460738560706,-13.314707502392983,-10.900515539729057,-6.638508225596895
5,-14.14099536384839,-13.258398258712198,-14.20466414787888,-16.128665610049165,-8.58229821983169,-11.703951104183353,-10.062200921947168,-17.53611098999993,-15.712466842815969,-18.957202138236052,-17.061143690209743,-12.831955549082844,-18.699972531189815,-15.485527922233679,-15.75474530043354,-20.435325782112866,-18.30845835156315,-14.892513049318119,-12.875928846213887,-11.180257625326279,-12.741709419786666,-15.50877755715425,-14.06301064061485,-12.406700052069848,-8.612124936090122
6,-15.371008264362018,-10.344616638809175,-17.959486305425543,-15.660492245973401,-6.262152005139651,-15.413126670504031,-8.889789195780814,-20.317143320451482,-16.545787442098046,-12.897805537192346,-14.73920220999742,-11.756522971775608,-17.956492483591703,-18.801256926516796,-12.688989284180806,-19.6329757154291,-20.39088824462639,-14.379173899722353,-9.912475889283865,-11.005686215140194,-10.617143829714198,-17.7510974049789,-18.025209270744625,-10.990007163568798,-10.66541358638611
7,-18.037227001207548,-11.443441071627191,-17.346929595729915,-10.282725744128554,-3.981514215489783,-19.57399285882914,-9.790970853308782,-23.29585843474534,-15.505719457606153,-10.457605788792707,-11.518263866719648,-11.823476245056385,-18.851438214064146,-21.122366532653587,-11.449765711477221,-18.077030593210672,-18.150291730837743,-12.14929448066636,-6.865384983804535,-10.210338149569724,-6.865767904604963,-19.05038780732575,-20.07991535515134,-12.183701500230013,-11.261765297699721
8,-22.018649295791214,-14.860429311642736,-18.217440253002124,-8.136238554958352,-4.153775023204595,-18.53758251614168,-13.281774593295982,-22.62122911752249,-18.398692974651446,-13.945347062376047,-13.268829230179655,-10.75195476897974,-17.825580967434362,-19.346637341627957,-13.722523067318278,-13.539534995797252,-17.092394289150743,-9.13007255218459,-9.256445242028315,-10.816381081597843,-6.27132896154022,-17.867316664071357,-18.11860505037276,-14.069296669824645,-11.104948393208254
9,-21.134945249174105,-16.981383040195954,-19.78861245848963,-10.674326840738154,-8.260669344317664,-17.360512288463948,-12.322999164873265,-18.468985100235276,-22.480372977988047,-15.935932559483305,-13.430217767024638,-10.923846551489174,-14.215421441841963,-16.926890174904,-12.980609472582223,-9.497789551221974,-15.805013241358404,-10.99830280574807,-13.604058983360568,-10.480752555510888,-9.041950201905685,-13.44986769435835,-18.726964985230314,-16.589266204878374,-14.652354764856904
10,-17.46629231709967,-19.599553203335738,-18.565165794463628,-12.735480837415997,-15.310136018652827,-15.290716714954808,-9.87683099424906,-16.042227643039258,-21.385761576315723,-15.76328794005822,-12.729364551547672,-17.30504146466189,-13.109013384885015,-14.94642578879936,-14.048335192219936,-10.040708215284763,-18.883595229407845,-12.865133358497053,-12.928383126086365,-8.93586852293091,-12.494981787180283,-12.36096364983604,-20.00378138528836,-19.24099450023106,-16.023710589867072
11,-14.247333395562006,-18.281134127622455,-17.411668986825923,-13.59363198615678,-18.272446932018028,-12.983238322345445,-13.161882809037106,-16.59988314110884,-18.925041577600673,-14.904221120029085,-13.99562145984841,-19.25184886199175,-13.986766629981167,-13.4332506318582,-15.122094285726579,-15.002578879344789,-20.01170724215406,-11.08679496499443,-13.871256459836971,-9.407494998195782,-13.26628933532058,-16.892831865275703,-14.963822132711766,-18.21409154074379,-11.02380817981301
12,-12.67776890089622,-17.8177760096128,-17.416509426059427,-13.849526146210147,-17.45710312291495,-12.739669120307068,-14.494343916112088,-17.150856195574036,-15.634998236507734,-15.756604983639939,-13.44331935932946,-15.4518264425025,-14.424688138948234,-15.027174733906943,-14.966777760497258,-15.66691812435939,-16.292329068654897,-10.475131739537755,-13.405430252129989,-11.20798747675742,-11.44477484561277,-17.979915534249397,-12.510167909487071,-16.559834798502145,-10.988661625703969
13,-15.933465140714567,-15.435893658529617,-17.737475160290078,-14.145861894391949,-13.021403963655573,-14.602296584107888,-13.976314752427289,-17.72979852496031,-11.096553513772477,-15.848515194760203,-13.502981594475084,-13.177737083296142,-16.026160634475072,-15.810573113273302,-15.670125046015052,-16.100470545214957,-11.99674049200608,-11.990904878872207,-9.400151748514373,-11.92369285783265,-7.520203999614359,-19.142100680465514,-12.317997272204117,-15.603251214794126,-10.968034863072916
14,-20.958807757240493,-13.198281466575548,-16.76850244459695,-9.751862129800593,-10.121758637300013,-13.622426045893404,-17.03458033812068,-17.415765319438204,-6.71680888199232,-13.910386592983027,-15.003013846032243,-12.391050640127293,-17.35824856138876,-17.477550822784877,-11.755707938112204,-15.383847180908358,-12.866542595211534,-9.975019969924649,-8.409391300492407,-14.862174906465956,-5.164411528573367,-17.296411077922144,-15.447722411344024,-16.930725383459688,-9.900011033543802
15,-23.44425602397065,-13.512083174347332,-14.403261280972847,-8.827840542502146,-12.490986413087917,-14.737722683197482,-18.35330587590188,-14.465863517102878,-8.560241795021758,-15.12051910275372,-18.15196105800651,-13.095160933485593,-17.7468610039358,-19.20610090807239,-7.429929422588813,-14.643952452220386,-18.693200957659418,-9.338502088795904,-13.476605924911453,-19.176019625387855,-7.840421341768786,-15.054240180848234,-16.47793300678303,-19.69121131115999,-9.207311562875784
16,-19.54992680634249,-11.816003654495079,-14.374639106927534,-13.892035285330145,-17.176258068927897,-18.79800838031123,-17.793225771819955,-15.908891774182267,-14.65582860027791,-14.814897603223027,-18.92970598461724,-13.999311198908547,-15.061537496265796,-16.268344212490952,-10.300846597807249,-12.294144966233025,-20.502347015699375,-12.828330534087943,-16.23661585650539,-17.72907851137441,-13.627700151513134,-13.57584872726716,-16.6388718825751,-17.904934577746612,-11.83313002355264
